Angle,AutoHitType,AutoPitchType,AwayTeam,BatterId,Batter,BatterSide,BatterTeam,Bearing,CatcherTeam,Date,Distance,ExitSpeed,HomeTeam,HorzBreak,KorBB,InducedVertBreak,PitcherId,Pitcher,PitcherTeam,PitchCall,PitcherThrows,PitchofPA,PlateLocHeight,PlateLocSide,PlayResult,RelSpeed,SpinRate,Strikes,Temporada,Temporada_Anio,id_path,fecha_carga,auto_pitch_type_2
36.518091,FlyBall,Slider,RAM_ARA,1000430927.0,Aram Samuel Castellon Hernandez,Right,NEL_BAR,45.10634,RAM_ARA,2025-06-27,273.81875,74.817,NEL_BAR,-4.49477,Undefined,6.50398,1000324977.0,Jesus Jauregui,RAM_ARA,InPlay,Left,1,2.56949,-0.03729,Double,86.27334,2318.425757,0,LMB,Verano-2025,v3/2025/07//07/CSV/20250627-EstadioAlfredo-1.csv,2025-07-07,
,,Four-Seam,RAM_ARA,1000441147.0,Jeremy Lozano Raygoza,Left,NEL_BAR,,RAM_ARA,2025-06-27,,,NEL_BAR,6.76725,Undefined,14.02981,1000279227.0,Luis Angel Valerio,RAM_ARA,FoulBallNotFieldable,Right,2,2.01906,-0.09684,Undefined,87.77003,2260.456926,1,LMB,Verano-2025,v3/2025/07//07/CSV/20250627-EstadioAlfredo-1.csv,2025-07-07,Rectas y sinkers
,,Four-Seam,RAM_ARA,1000430927.0,Aram Samuel Castellon Hernandez,Right,NEL_BAR,,RAM_ARA,2025-06-26,,,NEL_BAR,8.91382,Undefined,11.59938,834960.0,Oscar Martinez,RAM_ARA,BallCalled,Right,5,4.37356,-1.19519,Undefined,91.16848,2202.95484,2,LMB,Verano-2025,v3/2025/07//07/CSV/20250626-EstadioAlfredo-3.csv,2025-07-07,Rectas y sinkers
,,Changeup,RAM_ARA,1000430927.0,Aram Samuel Castellon Hernandez,Right,NEL_BAR,,RAM_ARA,2025-06-27,,,NEL_BAR,-7.74209,Strikeout,9.95615,1000412298.0,Ismael Coronado Silva,RAM_ARA,StrikeSwinging,Left,4,2.1889,-1.60499,Undefined,72.61673,1569.98619,2,LMB,Verano-2025,v3/2025/07//07/CSV/20250627-EstadioAlfredo-1.csv,2025-07-07,
54.436839,Popup,Sinker,RAM_ARA,1000444939.0,Javier Alejandro Mireles Contreras,Right,NEL_BAR,-18.457672,RAM_ARA,2025-06-26,150.1745,56.53787,NEL_BAR,11.86918,Undefined,12.19304,1000324991.0,Pedro Montano,RAM_ARA,InPlay,Right,6,3.28464,0.45961,Out,89.92114,2286.164418,2,LMB,Verano-2025,v3/2025/07//07/CSV/20250626-EstadioAlfredo-3.csv,2025-07-07,Rectas y sinkers
,,Changeup,RAM_ARA,1000430927.0,Aram Samuel Castellon Hernandez,Right,NEL_BAR,,RAM_ARA,2025-06-27,,,NEL_BAR,-5.09685,Undefined,1.74154,1000412298.0,Ismael Coronado Silva,RAM_ARA,StrikeSwinging,Left,2,2.57118,0.32376,Undefined,72.50626,1348.2091,1,LMB,Verano-2025,v3/2025/07//07/CSV/20250627-EstadioAlfredo-1.csv,2025-07-07,
,,Four-Seam,RAM_ARA,1000358452.0,Roger Aldazaba Pimienta,Right,NEL_BAR,,RAM_ARA,2025-06-27,,,NEL_BAR,3.20217,Undefined,12.53115,1000371213.0,Axel De Lira Serna,RAM_ARA,BallCalled,Right,1,4.58049,0.07334,Undefined,88.47049,2029.53802,0,LMB,Verano-2025,v3/2025/07//07/CSV/20250627-EstadioAlfredo-1.csv,2025-07-07,Rectas y sinkers
,,Four-Seam,RAM_ARA,1000444939.0,Javier Alejandro Mireles Contreras,Right,NEL_BAR,,RAM_ARA,2025-06-26,,,NEL_BAR,7.4737,Undefined,17.14099,1000324991.0,Pedro Montano,RAM_ARA,BallCalled,Right,2,4.74432,1.48754,Undefined,88.68022,2196.109853,0,LMB,Verano-2025,v3/2025/07//07/CSV/20250626-EstadioAlfredo-3.csv,2025-07-07,Rectas y sinkers
,,Changeup,RAM_ARA,1000441144.0,Miguel Delgado Uscanga,Right,NEL_BAR,,RAM_ARA,2025-06-26,,,NEL_BAR,-9.90823,Undefined,11.66993,1000324973.0,Francisco Garcia,RAM_ARA,BallCalled,Left,4,3.98071,-0.88657,Undefined,82.09086,2153.936053,1,LMB,Verano-2025,v3/2025/07//07/CSV/20250626-EstadioAlfredo-3.csv,2025-07-07,
,,Curveball,RAM_ARA,1000430927.0,Aram Samuel Castellon Hernandez,Right,NEL_BAR,,RAM_ARA,2025-06-26,,,NEL_BAR,-8.48792,Undefined,-7.6026,1000444894.0,Edgar Daniel Melgar,RAM_ARA,StrikeCalled,Right,1,3.06171,0.71234,Undefined,67.89338,2122.509916,0,LMB,Verano-2025,v3/2025/07//07/CSV/20250626-EstadioAlfredo-3.csv,2025-07-07,
